name,type,object,version,zh_CN,ja_JP,en_US
skchr_absin_1,skchr,absin,1,执法模式,執行態勢,Enforcement Mode
skchr_absin_2,skchr,absin,2,终结连射,告死の弾雨,Ultimatum
skchr_acast_1,skchr,acast,1,“为我所为”,「我が成すことを成せ」,'All That I Do'
skchr_accast_1,skchr,accast,1,“书我所书”,「我が記すものを記せ」,'All That I Author'
skchr_accast_2,skchr,accast,2,“为我所为”,「我が成すことを成せ」,'All That I Do'
skchr_accast_3,skchr,accast,3,“驭我所驭”,「我が御すものを御せ」,'All That I Command'
skchr_acdrop_1,skchr,acdrop,1,花式点射,ファンシーショット,Fancy Shot
skchr_acdrop_2,skchr,acdrop,2,扳机时刻,ダブルトリガー,Trigger Time
skchr_acfend_1,skchr,acfend,1,结构稳定,構造堅牢化,Structural Stability
skchr_acfend_2,skchr,acfend,2,不变性原理,不変性原理,Invariance Principle
skchr_acfend_3,skchr,acfend,3,应力倒置,応力反転,Stress Inversion
skchr_acguad_1,skchr,acguad,1,快刀,快刀,Swiftblade
skchr_acguad_2,skchr,acguad,2,亮剑,鋭刃,Drawing Sword
skchr_acguad_3,skchr,acguad,3,力战不竭,死力,To The Bitter End
skchr_acmedc_1,skchr,acmedc,1,慨赠,高潔なる贈与,Generous Gift
skchr_acmedc_2,skchr,acmedc,2,宛如天启,天啓の光,Apocalyptic Scene
skchr_acmedc_3,skchr,acmedc,3,恳切福音,懇願の福音,Earnest Gospel
skchr_acnipe_1,skchr,acnipe,1,破空,破空,Skyshatter
skchr_acnipe_2,skchr,acnipe,2,心手合一,心技一体,One With the Bow
skchr_acnipe_3,skchr,acnipe,3,旋臂,旋風矢,Pronation
skchr_acpion_1,skchr,acpion,1,钻心,貫心,Estocada
skchr_acpion_2,skchr,acpion,2,迅瞬,瞬迅,Ráfaga
skchr_acpion_3,skchr,acpion,3,只余芬芳,残り香,Lingering Scent
skchr_acspec_1,skchr,acspec,1,物理的服从,服従せし法則,When Physics Obeys
skchr_acspec_2,skchr,acspec,2,战争的恭顺,恭順せし戦争,When War Complies
skchr_acspec_3,skchr,acspec,3,空间的归依,帰依せし空間,When Space Surrenders
skchr_acsupo_1,skchr,acsupo,1,双声,双音,Diphony
skchr_acsupo_2,skchr,acsupo,2,三形,三形,Triform
skchr_acsupo_3,skchr,acsupo,3,信号跃动,躍動するシグナル,Impulse Signal
skchr_aglina_1,skchr,aglina,1,秘杖·速充模式,秘杖・急収束　,Arcane Staff - Quick Charge Mode
skchr_aglina_2,skchr,aglina,2,秘杖·微粒模式,秘杖・微粒子,Arcane Staff - Particle Mode
skchr_aglina_3,skchr,aglina,3,秘杖·反重力模式,秘杖・反重力,Arcane Staff - Anti-Gravity Mode
skchr_agoat2_1,skchr,agoat2,1,无声润物,無垢なる恵み,Soundless Sustenance
skchr_agoat2_2,skchr,agoat2,2,云霭荫佑,雲煙の庇護,Cloudmist Shelter
skchr_agoat2_3,skchr,agoat2,3,火山回响,ヴォルケーノ・エコー,Volcanic Echoes
skchr_aguard_1,skchr,aguard,1,亮剑,鋭刃,Drawing Sword
skchr_akafyu_1,skchr,akafyu,1,信影流·雷刀之势,信影流・雷刀之勢,Nobukage-ryu - Kaminari Gatana no Zei
skchr_akafyu_2,skchr,akafyu,2,信影流·十文字胜,信影流・十文字勝,Nobukage-ryu - Juumonji Masaru
skchr_alanna_1,skchr,alanna,1,气动增压,-,-
skchr_alanna_2,skchr,alanna,2,“万斤顶”,-,-
skchr_almond_1,skchr,almond,1,磁力抓取,マグネットキャッチャー,Magnetic Grab
skchr_almond_2,skchr,almond,2,强力牵引,ハイパートラクション,Power Traction
skchr_amedic_1,skchr,amedic,1,宛如天启,天啓の光,Apocalyptic Scene
skchr_amgoat_1,skchr,amgoat,1,二重咏唱,二重詠唱,Duetto
skchr_amgoat_2,skchr,amgoat,2,点燃,イグニッション,Ignition
skchr_amgoat_3,skchr,amgoat,3,火山,イラプション,Volcano
skchr_amiya2_1,skchr,amiya2,1,影霄·奔夜,影霄・奔夜,Ying Xiao - Fleeting Night
skchr_amiya2_2,skchr,amiya2,2,影霄·绝影,影霄・絶影,Ying Xiao - Shadowless
skchr_amiya3_1,skchr,amiya3,1,哀恸共情,悲痛共感,Empathy of Grief
skchr_amiya3_2,skchr,amiya3,2,慈悲愿景,慈悲先途,Vision of Mercy
skchr_amiya_2,skchr,amiya,2,精神爆发,ソウルブースト,Spirit Burst
skchr_amiya_3,skchr,amiya,3,奇美拉,キメラ,Chimera
skchr_angel2_1,skchr,angel2,1,天空大扫除,-,-
skchr_angel2_2,skchr,angel2,2,开火成瘾症,-,-
skchr_angel2_3,skchr,angel2,3,使命必达！,-,-
skchr_angel_1,skchr,angel,1,冲锋模式,アサルトモード,Charging Mode
skchr_angel_2,skchr,angel,2,扫射模式,バーストモード,Shooting Mode
skchr_angel_3,skchr,angel,3,过载模式,オーバーロード,Overloading Mode
